time,dir,entry,sl,tp,result,R,exit,exit_time
2025-01-29 12:00:00,long,2756.72,2729.2124999999996,2811.735,win,2.0,2811.735,2025-01-31 14:30:00
2025-03-12 07:00:00,long,2911.13,2888.295,2956.8,win,2.0,2956.8,2025-03-13 14:30:00
2025-07-08 09:30:00,long,3322.04,3290.16,3385.8,loss,-1.0,3290.16,2025-07-08 15:00:00
2025-07-18 18:00:00,long,3351.71,3327.1275000000005,3400.874999999999,win,2.0,3400.874999999999,2025-07-21 14:30:00
2025-07-22 01:30:00,long,3385.95,3356.0575000000003,3445.7349999999988,loss,-1.0,3356.0575000000003,2025-07-24 12:30:00
2025-11-27 01:00:00,long,4153.63,4121.695,4217.500000000001,win,2.0,4217.500000000001,2025-11-28 18:00:00
2025-12-12 16:30:00,long,4281.76,4190.822499999999,4463.635000000002,win,2.0,4463.635000000002,2025-12-23 00:00:00
2026-05-01 08:30:00,long,4605.06,4524.597500000001,4765.985,loss,-1.0,4524.597500000001,2026-05-04 18:00:00
2026-06-02 15:30:00,long,4514.81,4448.93,4646.570000000001,loss,-1.0,4448.93,2026-06-03 11:30:00
